CLR,FAT,SNF,RATE
3,2,2,13.33
4,2,2.1,13.55
4,2,2.2,13.77
4,2,2.3,13.98
5,2,2.4,14.2
5,2,2.5,14.42
6,2,2.6,14.63
6,2,2.7,14.85
6,2,2.8,15.07
7,2,2.9,15.28
7,2,3,15.5
8,2,3.1,15.72
8,2,3.2,15.93
8,2,3.3,16.15
9,2,3.4,16.37
9,2,3.5,16.58
10,2,3.6,16.8
10,2,3.7,17.02
10,2,3.8,17.23
11,2,3.9,17.45
11,2,4,17.67
12,2,4.1,17.88
12,2,4.2,18.1
12,2,4.3,18.32
13,2,4.4,18.53
13,2,4.5,18.75
14,2,4.6,18.97
14,2,4.7,19.18
14,2,4.8,19.4
15,2,4.9,19.62
15,2,5,19.83
16,2,5.1,20.05
16,2,5.2,20.27
16,2,5.3,20.48
17,2,5.4,20.7
17,2,5.5,20.92
18,2,5.6,21.13
18,2,5.7,21.35
18,2,5.8,21.57
19,2,5.9,21.78
19,2,6,22
20,2,6.1,22.22
20,2,6.2,22.43
20,2,6.3,22.65
21,2,6.4,22.87
21,2,6.5,23.08
22,2,6.6,23.3
22,2,6.7,23.52
22,2,6.8,23.73
23,2,6.9,23.95
23,2,7,24.17
24,2,7.1,24.38
24,2,7.2,24.6
24,2,7.3,24.82
25,2,7.4,25.03
25,2,7.5,25.25
26,2,7.6,25.47
26,2,7.7,25.68
26,2,7.8,25.9
27,2,7.9,26.12
27,2,8,26.33
28,2,8.1,26.55
28,2,8.2,26.77
28,2,8.3,26.98
29,2,8.4,27.2
29,2,8.5,27.42
30,2,8.6,27.63
30,2,8.7,27.85
30,2,8.8,28.07
31,2,8.9,28.28
31,2,9,28.5
32,2,9.1,28.72
32,2,9.2,28.93
32,2,9.3,29.15
33,2,9.4,29.37
33,2,9.5,29.58
34,2,9.6,29.8
34,2,9.7,30.02
34,2,9.8,30.23
35,2,9.9,30.45
35,2,10,30.67
3,2.1,2,13.78
3,2.1,2.1,14
4,2.1,2.2,14.22
4,2.1,2.3,14.43
5,2.1,2.4,14.65
5,2.1,2.5,14.87
5,2.1,2.6,15.08
6,2.1,2.7,15.3
6,2.1,2.8,15.52
7,2.1,2.9,15.73
7,2.1,3,15.95
7,2.1,3.1,16.17
8,2.1,3.2,16.38
8,2.1,3.3,16.6
9,2.1,3.4,16.82
9,2.1,3.5,17.03
9,2.1,3.6,17.25
10,2.1,3.7,17.47
10,2.1,3.8,17.68
11,2.1,3.9,17.9
11,2.1,4,18.12
11,2.1,4.1,18.33
12,2.1,4.2,18.55
12,2.1,4.3,18.77
13,2.1,4.4,18.98
13,2.1,4.5,19.2
13,2.1,4.6,19.42
14,2.1,4.7,19.63
14,2.1,4.8,19.85
15,2.1,4.9,20.07
15,2.1,5,20.28
15,2.1,5.1,20.5
16,2.1,5.2,20.72
16,2.1,5.3,20.93
17,2.1,5.4,21.15
17,2.1,5.5,21.37
17,2.1,5.6,21.58
18,2.1,5.7,21.8
18,2.1,5.8,22.02
19,2.1,5.9,22.23
19,2.1,6,22.45
19,2.1,6.1,22.67
20,2.1,6.2,22.88
20,2.1,6.3,23.1
21,2.1,6.4,23.32
21,2.1,6.5,23.53
21,2.1,6.6,23.75
22,2.1,6.7,23.97
22,2.1,6.8,24.18
23,2.1,6.9,24.4
23,2.1,7,24.62
23,2.1,7.1,24.83
24,2.1,7.2,25.05
24,2.1,7.3,25.27
25,2.1,7.4,25.48
25,2.1,7.5,25.7
25,2.1,7.6,25.92
26,2.1,7.7,26.13
26,2.1,7.8,26.35
27,2.1,7.9,26.57
27,2.1,8,26.78
27,2.1,8.1,27
28,2.1,8.2,27.22
28,2.1,8.3,27.43
29,2.1,8.4,27.65
29,2.1,8.5,27.87
29,2.1,8.6,28.08
30,2.1,8.7,28.3
30,2.1,8.8,28.52
31,2.1,8.9,28.73
31,2.1,9,28.95
31,2.1,9.1,29.17
32,2.1,9.2,29.38
32,2.1,9.3,29.6
33,2.1,9.4,29.82
33,2.1,9.5,30.03
33,2.1,9.6,30.25
34,2.1,9.7,30.47
34,2.1,9.8,30.68
35,2.1,9.9,30.9
35,2.1,10,31.12
3,2.2,2,14.23
3,2.2,2.1,14.45
4,2.2,2.2,14.67
4,2.2,2.3,14.88
5,2.2,2.4,15.1
5,2.2,2.5,15.32
5,2.2,2.6,15.53
6,2.2,2.7,15.75
6,2.2,2.8,15.97
7,2.2,2.9,16.18
7,2.2,3,16.4
7,2.2,3.1,16.62
8,2.2,3.2,16.83
8,2.2,3.3,17.05
9,2.2,3.4,17.27
9,2.2,3.5,17.48
9,2.2,3.6,17.7
10,2.2,3.7,17.92
10,2.2,3.8,18.13
11,2.2,3.9,18.35
11,2.2,4,18.57
11,2.2,4.1,18.78
12,2.2,4.2,19
12,2.2,4.3,19.22
13,2.2,4.4,19.43
13,2.2,4.5,19.65
13,2.2,4.6,19.87
14,2.2,4.7,20.08
14,2.2,4.8,20.3
15,2.2,4.9,20.52
15,2.2,5,20.73
15,2.2,5.1,20.95
16,2.2,5.2,21.17
16,2.2,5.3,21.38
17,2.2,5.4,21.6
17,2.2,5.5,21.82
17,2.2,5.6,22.03
18,2.2,5.7,22.25
18,2.2,5.8,22.47
19,2.2,5.9,22.68
19,2.2,6,22.9
19,2.2,6.1,23.12
20,2.2,6.2,23.33
20,2.2,6.3,23.55
21,2.2,6.4,23.77
21,2.2,6.5,23.98
21,2.2,6.6,24.2
22,2.2,6.7,24.42
22,2.2,6.8,24.63
23,2.2,6.9,24.85
23,2.2,7,25.07
23,2.2,7.1,25.28
24,2.2,7.2,25.5
24,2.2,7.3,25.72
25,2.2,7.4,25.93
25,2.2,7.5,26.15
25,2.2,7.6,26.37
26,2.2,7.7,26.58
26,2.2,7.8,26.8
27,2.2,7.9,27.02
27,2.2,8,27.23
27,2.2,8.1,27.45
28,2.2,8.2,27.67
28,2.2,8.3,27.88
29,2.2,8.4,28.1
29,2.2,8.5,28.32
29,2.2,8.6,28.53
30,2.2,8.7,28.75
30,2.2,8.8,28.97
31,2.2,8.9,29.18
31,2.2,9,29.4
31,2.2,9.1,29.62
32,2.2,9.2,29.83
32,2.2,9.3,30.05
33,2.2,9.4,30.27
33,2.2,9.5,30.48
33,2.2,9.6,30.7
34,2.2,9.7,30.92
34,2.2,9.8,31.13
35,2.2,9.9,31.35
35,2.2,10,31.57
3,2.3,2,14.68
3,2.3,2.1,14.9
4,2.3,2.2,15.12
4,2.3,2.3,15.33
4,2.3,2.4,15.55
5,2.3,2.5,15.77
5,2.3,2.6,15.98
6,2.3,2.7,16.2
6,2.3,2.8,16.42
6,2.3,2.9,16.63
7,2.3,3,16.85
7,2.3,3.1,17.07
8,2.3,3.2,17.28
8,2.3,3.3,17.5
8,2.3,3.4,17.72
9,2.3,3.5,17.93
9,2.3,3.6,18.15
10,2.3,3.7,18.37
10,2.3,3.8,18.58
10,2.3,3.9,18.8
11,2.3,4,19.02
11,2.3,4.1,19.23
12,2.3,4.2,19.45
12,2.3,4.3,19.67
12,2.3,4.4,19.88
13,2.3,4.5,20.1
13,2.3,4.6,20.32
14,2.3,4.7,20.53
14,2.3,4.8,20.75
14,2.3,4.9,20.97
15,2.3,5,21.18
15,2.3,5.1,21.4
16,2.3,5.2,21.62
16,2.3,5.3,21.83
16,2.3,5.4,22.05
17,2.3,5.5,22.27
17,2.3,5.6,22.48
18,2.3,5.7,22.7
18,2.3,5.8,22.92
18,2.3,5.9,23.13
19,2.3,6,23.35
19,2.3,6.1,23.57
20,2.3,6.2,23.78
20,2.3,6.3,24
20,2.3,6.4,24.22
21,2.3,6.5,24.43
21,2.3,6.6,24.65
22,2.3,6.7,24.87
22,2.3,6.8,25.08
22,2.3,6.9,25.3
23,2.3,7,25.52
23,2.3,7.1,25.73
24,2.3,7.2,25.95
24,2.3,7.3,26.17
24,2.3,7.4,26.38
25,2.3,7.5,26.6
25,2.3,7.6,26.82
26,2.3,7.7,27.03
26,2.3,7.8,27.25
26,2.3,7.9,27.47
27,2.3,8,27.68
27,2.3,8.1,27.9
28,2.3,8.2,28.12
28,2.3,8.3,28.33
28,2.3,8.4,28.55
29,2.3,8.5,28.77
29,2.3,8.6,28.98
30,2.3,8.7,29.2
30,2.3,8.8,29.42
30,2.3,8.9,29.63
31,2.3,9,29.85
31,2.3,9.1,30.07
32,2.3,9.2,30.28
32,2.3,9.3,30.5
32,2.3,9.4,30.72
33,2.3,9.5,30.93
33,2.3,9.6,31.15
34,2.3,9.7,31.37
34,2.3,9.8,31.58
34,2.3,9.9,31.8
35,2.3,10,32.02
3,2.4,2,15.13
3,2.4,2.1,15.35
4,2.4,2.2,15.57
4,2.4,2.3,15.78
4,2.4,2.4,16
5,2.4,2.5,16.22
5,2.4,2.6,16.43
6,2.4,2.7,16.65
6,2.4,2.8,16.87
6,2.4,2.9,17.08
7,2.4,3,17.3
7,2.4,3.1,17.52
8,2.4,3.2,17.73
8,2.4,3.3,17.95
8,2.4,3.4,18.17
9,2.4,3.5,18.38
9,2.4,3.6,18.6
10,2.4,3.7,18.82
10,2.4,3.8,19.03
10,2.4,3.9,19.25
11,2.4,4,19.47
11,2.4,4.1,19.68
12,2.4,4.2,19.9
12,2.4,4.3,20.12
12,2.4,4.4,20.33
13,2.4,4.5,20.55
13,2.4,4.6,20.77
14,2.4,4.7,20.98
14,2.4,4.8,21.2
14,2.4,4.9,21.42
15,2.4,5,21.63
15,2.4,5.1,21.85
16,2.4,5.2,22.07
16,2.4,5.3,22.28
16,2.4,5.4,22.5
17,2.4,5.5,22.72
17,2.4,5.6,22.93
18,2.4,5.7,23.15
18,2.4,5.8,23.37
18,2.4,5.9,23.58
19,2.4,6,23.8
19,2.4,6.1,24.02
20,2.4,6.2,24.23
20,2.4,6.3,24.45
20,2.4,6.4,24.67
21,2.4,6.5,24.88
21,2.4,6.6,25.1
22,2.4,6.7,25.32
22,2.4,6.8,25.53
22,2.4,6.9,25.75
23,2.4,7,25.97
23,2.4,7.1,26.18
24,2.4,7.2,26.4
24,2.4,7.3,26.62
24,2.4,7.4,26.83
25,2.4,7.5,27.05
25,2.4,7.6,27.27
26,2.4,7.7,27.48
26,2.4,7.8,27.7
26,2.4,7.9,27.92
27,2.4,8,28.13
27,2.4,8.1,28.35
28,2.4,8.2,28.57
28,2.4,8.3,28.78
28,2.4,8.4,29
29,2.4,8.5,29.22
29,2.4,8.6,29.43
30,2.4,8.7,29.65
30,2.4,8.8,29.87
30,2.4,8.9,30.08
31,2.4,9,30.3
31,2.4,9.1,30.52
32,2.4,9.2,30.73
32,2.4,9.3,30.95
32,2.4,9.4,31.17
33,2.4,9.5,31.38
33,2.4,9.6,31.6
34,2.4,9.7,31.82
34,2.4,9.8,32.03
34,2.4,9.9,32.25
35,2.4,10,32.47
3,2.5,2,15.58
3,2.5,2.1,15.8
4,2.5,2.2,16.02
4,2.5,2.3,16.23
4,2.5,2.4,16.45
5,2.5,2.5,16.67
5,2.5,2.6,16.88
6,2.5,2.7,17.1
6,2.5,2.8,17.32
6,2.5,2.9,17.53
7,2.5,3,17.75
7,2.5,3.1,17.97
8,2.5,3.2,18.18
8,2.5,3.3,18.4
8,2.5,3.4,18.62
9,2.5,3.5,18.83
9,2.5,3.6,19.05
10,2.5,3.7,19.27
10,2.5,3.8,19.48
10,2.5,3.9,19.7
11,2.5,4,19.92
11,2.5,4.1,20.13
12,2.5,4.2,20.35
12,2.5,4.3,20.57
12,2.5,4.4,20.78
13,2.5,4.5,21
13,2.5,4.6,21.22
14,2.5,4.7,21.43
14,2.5,4.8,21.65
14,2.5,4.9,21.87
15,2.5,5,22.08
15,2.5,5.1,22.3
16,2.5,5.2,22.52
16,2.5,5.3,22.73
16,2.5,5.4,22.95
17,2.5,5.5,23.17
17,2.5,5.6,23.38
18,2.5,5.7,23.6
18,2.5,5.8,23.82
18,2.5,5.9,24.03
19,2.5,6,24.25
19,2.5,6.1,24.47
20,2.5,6.2,24.68
20,2.5,6.3,24.9
20,2.5,6.4,25.12
21,2.5,6.5,25.33
21,2.5,6.6,25.55
22,2.5,6.7,25.77
22,2.5,6.8,25.98
22,2.5,6.9,26.2
23,2.5,7,26.42
23,2.5,7.1,26.63
24,2.5,7.2,26.85
24,2.5,7.3,27.07
24,2.5,7.4,27.28
25,2.5,7.5,27.5
25,2.5,7.6,27.72
26,2.5,7.7,27.93
26,2.5,7.8,28.15
26,2.5,7.9,28.37
27,2.5,8,28.58
27,2.5,8.1,28.8
28,2.5,8.2,29.02
28,2.5,8.3,29.23
28,2.5,8.4,29.45
29,2.5,8.5,29.67
29,2.5,8.6,29.88
30,2.5,8.7,30.1
30,2.5,8.8,30.32
30,2.5,8.9,30.53
31,2.5,9,30.75
31,2.5,9.1,30.97
32,2.5,9.2,31.18
32,2.5,9.3,31.4
32,2.5,9.4,31.62
33,2.5,9.5,31.83
33,2.5,9.6,32.05
34,2.5,9.7,32.27
34,2.5,9.8,32.48
34,2.5,9.9,32.7
35,2.5,10,32.92
3,2.6,2,16.03
3,2.6,2.1,16.25
3,2.6,2.2,16.47
4,2.6,2.3,16.68
4,2.6,2.4,16.9
5,2.6,2.5,17.12
5,2.6,2.6,17.33
5,2.6,2.7,17.55
6,2.6,2.8,17.77
6,2.6,2.9,17.98
7,2.6,3,18.2
7,2.6,3.1,18.42
7,2.6,3.2,18.63
8,2.6,3.3,18.85
8,2.6,3.4,19.07
9,2.6,3.5,19.28
9,2.6,3.6,19.5
9,2.6,3.7,19.72
10,2.6,3.8,19.93
10,2.6,3.9,20.15
11,2.6,4,20.37
11,2.6,4.1,20.58
11,2.6,4.2,20.8
12,2.6,4.3,21.02
12,2.6,4.4,21.23
13,2.6,4.5,21.45
13,2.6,4.6,21.67
13,2.6,4.7,21.88
14,2.6,4.8,22.1
14,2.6,4.9,22.32
15,2.6,5,22.53
15,2.6,5.1,22.75
15,2.6,5.2,22.97
16,2.6,5.3,23.18
16,2.6,5.4,23.4
17,2.6,5.5,23.62
17,2.6,5.6,23.83
17,2.6,5.7,24.05
18,2.6,5.8,24.27
18,2.6,5.9,24.48
19,2.6,6,24.7
19,2.6,6.1,24.92
19,2.6,6.2,25.13
20,2.6,6.3,25.35
20,2.6,6.4,25.57
21,2.6,6.5,25.78
21,2.6,6.6,26
21,2.6,6.7,26.22
22,2.6,6.8,26.43
22,2.6,6.9,26.65
23,2.6,7,26.87
23,2.6,7.1,27.08
23,2.6,7.2,27.3
24,2.6,7.3,27.52
24,2.6,7.4,27.73
25,2.6,7.5,27.95
25,2.6,7.6,28.17
25,2.6,7.7,28.38
26,2.6,7.8,28.6
26,2.6,7.9,28.82
27,2.6,8,29.03
27,2.6,8.1,29.25
27,2.6,8.2,29.47
28,2.6,8.3,29.68
28,2.6,8.4,29.9
29,2.6,8.5,30.12
29,2.6,8.6,30.33
29,2.6,8.7,30.55
30,2.6,8.8,30.77
30,2.6,8.9,30.98
31,2.6,9,31.2
31,2.6,9.1,31.42
31,2.6,9.2,31.63
32,2.6,9.3,31.85
32,2.6,9.4,32.07
33,2.6,9.5,32.28
33,2.6,9.6,32.5
33,2.6,9.7,32.72
34,2.6,9.8,32.93
34,2.6,9.9,33.15
35,2.6,10,33.37
3,2.7,2,16.48
3,2.7,2.1,16.7
3,2.7,2.2,16.92
4,2.7,2.3,17.13
4,2.7,2.4,17.35
5,2.7,2.5,17.57
5,2.7,2.6,17.78
5,2.7,2.7,18
6,2.7,2.8,18.22
6,2.7,2.9,18.43
7,2.7,3,18.65
7,2.7,3.1,18.87
7,2.7,3.2,19.08
8,2.7,3.3,19.3
8,2.7,3.4,19.52
9,2.7,3.5,19.73
9,2.7,3.6,19.95
9,2.7,3.7,20.17
10,2.7,3.8,20.38
10,2.7,3.9,20.6
11,2.7,4,20.82
11,2.7,4.1,21.03
11,2.7,4.2,21.25
12,2.7,4.3,21.47
12,2.7,4.4,21.68
13,2.7,4.5,21.9
13,2.7,4.6,22.12
13,2.7,4.7,22.33
14,2.7,4.8,22.55
14,2.7,4.9,22.77
15,2.7,5,22.98
15,2.7,5.1,23.2
15,2.7,5.2,23.42
16,2.7,5.3,23.63
16,2.7,5.4,23.85
17,2.7,5.5,24.07
17,2.7,5.6,24.28
17,2.7,5.7,24.5
18,2.7,5.8,24.72
18,2.7,5.9,24.93
19,2.7,6,25.15
19,2.7,6.1,25.37
19,2.7,6.2,25.58
20,2.7,6.3,25.8
20,2.7,6.4,26.02
21,2.7,6.5,26.23
21,2.7,6.6,26.45
21,2.7,6.7,26.67
22,2.7,6.8,26.88
22,2.7,6.9,27.1
23,2.7,7,27.32
23,2.7,7.1,27.53
23,2.7,7.2,27.75
24,2.7,7.3,27.97
24,2.7,7.4,28.18
25,2.7,7.5,28.4
25,2.7,7.6,28.62
25,2.7,7.7,28.83
26,2.7,7.8,29.05
26,2.7,7.9,29.27
27,2.7,8,29.48
27,2.7,8.1,29.7
27,2.7,8.2,29.92
28,2.7,8.3,30.13
28,2.7,8.4,30.35
29,2.7,8.5,30.57
29,2.7,8.6,30.78
29,2.7,8.7,31
30,2.7,8.8,31.22
30,2.7,8.9,31.43
31,2.7,9,31.65
31,2.7,9.1,31.87
31,2.7,9.2,32.08
32,2.7,9.3,32.3
32,2.7,9.4,32.52
33,2.7,9.5,32.73
33,2.7,9.6,32.95
33,2.7,9.7,33.17
34,2.7,9.8,33.38
34,2.7,9.9,33.6
35,2.7,10,33.82
2,2.8,2,16.93
3,2.8,2.1,17.15
3,2.8,2.2,17.37
4,2.8,2.3,17.58
4,2.8,2.4,17.8
4,2.8,2.5,18.02
5,2.8,2.6,18.23
5,2.8,2.7,18.45
6,2.8,2.8,18.67
6,2.8,2.9,18.88
6,2.8,3,19.1
7,2.8,3.1,19.32
7,2.8,3.2,19.53
8,2.8,3.3,19.75
8,2.8,3.4,19.97
8,2.8,3.5,20.18
9,2.8,3.6,20.4
9,2.8,3.7,20.62
10,2.8,3.8,20.83
10,2.8,3.9,21.05
10,2.8,4,21.27
11,2.8,4.1,21.48
11,2.8,4.2,21.7
12,2.8,4.3,21.92
12,2.8,4.4,22.13
12,2.8,4.5,22.35
13,2.8,4.6,22.57
13,2.8,4.7,22.78
14,2.8,4.8,23
14,2.8,4.9,23.22
14,2.8,5,23.43
15,2.8,5.1,23.65
15,2.8,5.2,23.87
16,2.8,5.3,24.08
16,2.8,5.4,24.3
16,2.8,5.5,24.52
17,2.8,5.6,24.73
17,2.8,5.7,24.95
